X,Y,Name,FIRE_OF_NOTE_IND,FIRE_SIZE_HA,Field_1,Fire Number,GEOGRAPHIC,IGNITION DATE,INCIDENT_NAME,LATITUDE,LONGITUDE,RESPONSE_TYPE_DESC,YEAR
-127.086990136497,54.8349219419623,Driftwood Creek,0,0.009,Driftwood Creek,R31643,Driftwood Creek,2021-07-09 9:00:00 AM,Bruce Road,54.834917,-127.086972,Full,2021
-123.262850744489,55.8806728157276,Peace Arm South Side,0,8,Peace Arm South Side,G61632,Peace Arm South Side,2021-07-07 9:35:12 AM,G61632,55.880667,-123.262833,Modified,2021
-124.135284416118,54.7381386702575,40km on North Road,0,0.2,40km on North Road,G51208,40km on North Road,2021-06-30 8:51:52 PM,S Tsilcoh Regen Fire,54.738133,-124.135267,Full,2021
-119.546115029415,49.9740060559205,Snowsell Creek,0,0.2,Snowsell Creek,K51709,Snowsell Creek,2021-07-10 12:40:01 AM,Teltron,49.974,-119.5461,Full,2021
-121.407016431036,53.3668389848917,W of Indian Lake,0,0.05,W of Indian Lake,G12465,W of Indian Lake,2021-08-05 9:00:15 AM,,53.366833,-121.407,Full,2021
-121.121651888785,51.5645398378406,E of Ryall Rd,0,7,E of Ryall Rd,C41125,E of Ryall Rd,2021-06-30 10:00:00 AM,,51.564534,-121.121636,Full,2021
-122.107149121049,52.100338848081,South Lakeside,0,0.009,South Lakeside,C22878,South Lakeside,2021-10-03 10:00:00 AM,,52.100333,-122.107133,Full,2021
-124.549949908318,53.2212055755216,Kuyakuz,0,0.1,Kuyakuz,G42301,Kuyakuz,2021-06-28 3:57:32 PM,,53.2212,-124.549933,Modified,2021
-121.798032612801,50.6369888252712,Fountain Valley Road,0,6.6,Fountain Valley Road,K70204,Fountain Valley Road,2021-04-14 2:14:56 PM,FOUNTAIN VALLEY ROAD,50.636983,-121.798017,Full,2021
-122.275198273244,49.1448226999387,Heritage Park #3,0,0.009,Heritage Park #3,V12732,Heritage Park #3,2021-08-26 8:00:38 AM,HERITAGE PARK #3,49.144817,-122.275183,Full,2021
-123.020648804624,50.6012386767106,Hurley FSR,0,0.009,Hurley FSR,K72608,Hurley FSR,2021-08-14 12:55:00 PM,HURLEY FSR,50.601233,-123.020633,Full,2021
-126.540918036172,55.3196353551678,Haul Lake,0,0.087,Haul Lake,R22547,Haul Lake,2021-08-11 11:40:00 AM,,55.31963,-126.5409,Full,2021
-122.753966957565,54.1563058373541,Salmon Valley,0,0.1,Salmon Valley,G12562,Salmon Valley,2021-08-11 6:27:13 PM,,54.1563,-122.75395,Full,2021
-120.347349111709,53.0014561039399,Castle Creek,0,237,Castle Creek,G31653,Castle Creek,2021-05-16 5:52:12 PM,,53.00145,-120.347333,Monitor,2021
-116.098981547736,50.6015394873428,Firland Ranch,0,13,Firland Ranch,N20262,Firland Ranch,2021-04-17 10:38:45 AM,FIRLAND RANCH,50.601533,-116.098967,Full,2021
-122.408984436564,55.5088889216033,South Le Moray,0,0.8,South Le Moray,G71524,South Le Moray,2021-07-06 1:04:37 PM,,55.508883,-122.408967,Full,2021
-128.900601586797,55.8026220312669,Van Dyke Lake,0,0.009,Van Dyke Lake,R50816,Van Dyke Lake,2021-06-17 4:15:47 PM,,55.802617,-128.900583,Full,2021
-120.844465715145,51.5178729786762,Roe Lake,0,0.2,Roe Lake,C41207,Roe Lake,2021-07-01 2:47:38 PM,,51.517867,-120.84445,Full,2021
-118.708364812253,49.7365061387568,Rendell Creek,0,0.1,Rendell Creek,N62462,Rendell Creek,2021-08-05 11:59:28 AM,RENDELL CREEK,49.7365,-118.70835,Full,2021
-125.643683896766,52.7128384202039,Anahim Peak,0,924,Anahim Peak,C51606,Anahim Peak,2021-07-08 11:14:39 AM,,52.712833,-125.643667,Modified,2021
-117.481764812817,50.5728063273563,Bigger Creek - MR,0,80,Bigger Creek - MR,N51806,Bigger Creek - MR,2021-07-07 2:54:32 PM,BIGGER CREEK - MR,50.5728,-117.48175,Modified,2021
-123.057116597429,53.032505762431,8km mark on the 1200 Rd,0,12.5,8km mark on the 1200 Rd,C10286,8km mark on the 1200 Rd,2021-01-01 12:00:02 PM,,53.0325,-123.0571,Full,2021
-116.584131373554,49.6074233697767,Redding Creek # 2,0,0.9,Redding Creek # 2,N11282,Redding Creek # 2,2021-07-02 1:05:20 AM,Redding Creek,49.607417,-116.584117,Full,2021
-126.423099263367,50.4081382575346,Naka Creek,0,1,Naka Creek,V82919,Naka Creek,2021-11-03 8:00:00 AM,,50.408133,-126.423083,Monitor,2021
-120.858517448298,56.208539150374,265 Road,0,6,265 Road,G80361,265 Road,2021-04-21 11:01:00 AM,Old Fort Rd.,56.208533,-120.8585,Full,2021
-115.927247302201,49.5972564416984,St Marys FSR,0,0.009,St Marys FSR,N11527,St Marys FSR,2021-07-05 3:00:00 PM,ST MARYS FSR,49.59725,-115.927233,Full,2021
-118.788765052852,50.5471231752931,Clarly Creek Road,0,3.6,Clarly Creek Road,K41367,Clarly Creek Road,2021-07-02 6:09:52 PM,Clarly Creek,50.547117,-118.78875,Full,2021
-116.073214141986,49.0981393921671,Hwy 3,0,0.709,Hwy 3,N70350,Hwy 3,2021-04-20 3:30:46 PM,Yahk River,49.098133,-116.0732,Full,2021
-117.993631842062,50.3293392548418,Cameron Lake,0,17.4,Cameron Lake,N51991,Cameron Lake,2021-07-16 10:00:38 PM,CAMERON LAKE,50.329333,-117.993617,Full,2021
-115.7749811746,49.4555394490373,Peavine Creek,0,0.06,Peavine Creek,N12779,Peavine Creek,2021-09-04 10:30:02 PM,PEAVINE CREEK,49.455533,-115.774967,Full,2021
-120.967032276396,49.9589728907515,Patrick Road,0,0.009,Patrick Road,K61659,Patrick Road,2021-07-07 12:00:00 PM,,49.958967,-120.967017,Full,2021
-122.610067427345,55.4031888920486,Azouzetta Lake,0,0.009,Azouzetta Lake,G61122,Azouzetta Lake,2021-06-30 8:15:33 PM,,55.403183,-122.61005,Full,2021
-125.656899055146,50.0716223399382,NE of Paterson Lake,0,0.009,NE of Paterson Lake,V82780,NE of Paterson Lake,2021-09-04 7:29:09 PM,NE of Paterson Lake,50.071617,-125.656883,Full,2021
-123.944781555036,48.792138552321,Mayo Rd,0,0.009,Mayo Rd,V62141,Mayo Rd,2021-07-22 9:45:15 PM,Mayo Road,48.792133,-123.944766,Full,2021
-119.647915293633,50.8318800892674,Jade Mountain,0,0.009,Jade Mountain,K41506,Jade Mountain,2021-07-06 4:00:24 AM,JADE MOUNTAIN,50.831874,-119.6479,Modified,2021
-121.891765697739,50.8664888240824,36.5 km on W Pavilion FSR,0,0.009,36.5 km on W Pavilion FSR,K71597,36.5 km on W Pavilion FSR,2021-07-06 10:00:00 PM,WEST PAVILION LIG...,50.866483,-121.89175,Full,2021
-124.17021710322,53.9152726440406,Nulki Lake,0,0.009,Nulki Lake,G40953,Nulki Lake,2021-06-27 10:30:00 AM,G40953,53.915267,-124.1702,Full,2021
-121.501432713445,51.1425558830842,Clinton,0,0.05,Clinton,C40618,Clinton,2021-05-23 8:10:36 PM,,51.14255,-121.501417,Full,2021
-118.232965233707,51.5167062918983,Downie Creek = MR,0,1,Downie Creek = MR,N42253,Downie Creek = MR,2021-07-11 12:56:04 PM,DOWNIE CREEK = MR,51.5167,-118.23295,Modified,2021
-119.542740895092,49.0640021160429,Old Richter Pass,0,0.009,Old Richter Pass,K51151,Old Richter Pass,2021-07-01 7:03:00 AM,,49.063996,-119.542726,Full,2021
-116.71509786488,51.2720564571018,Mt Hunter,0,445,Mt Hunter,N42094,Mt Hunter,2021-07-20 8:20:04 PM,MT HUNTER,51.27205,-116.715083,Modified,2021
-128.629000974974,54.4460880558792,Matson Road,0,4.3,Matson Road,R50518,Matson Road,2021-05-15 4:13:21 PM,MATSON RD,54.446083,-128.628983,Full,2021
-118.554598451611,52.0170062796195,Fred Laing FSR,0,0.02,Fred Laing FSR,N41789,Fred Laing FSR,2021-07-10 8:39:19 PM,FRED LAING FSR,52.017,-118.554583,Full,2021
-120.331448025515,49.4435559379338,Wolf Lake North,0,0.1,Wolf Lake North,K62405,Wolf Lake North,2021-08-04 4:00:00 PM,,49.44355,-120.331433,Full,2021
-118.518431635403,49.2043891291607,Rock Candy,0,0.25,Rock Candy,N61691,Rock Candy,2021-07-08 7:48:46 PM,ROCK CANDY,49.204383,-118.518417,Full,2021
-115.773347335881,50.067706489624,Copper Creek,0,0.2,Copper Creek,N21675,Copper Creek,2021-07-03 9:11:04 PM,Copper Creek,50.0677,-115.773333,Full,2021
-122.492883781454,53.809155860272,Dorothy Lake Trail,0,0.009,Dorothy Lake Trail,G12772,Dorothy Lake Trail,2021-09-03 3:45:03 PM,Sawdust fire,53.80915,-122.492867,Full,2021
-121.445083297479,55.3277221561206,Gwillim Lake,0,0.009,Gwillim Lake,G72449,Gwillim Lake,2021-08-05 7:22:27 PM,,55.327716,-121.445066,Full,2021
-118.643432476008,52.0416732703186,Soards Creek,0,22,Soards Creek,N41262,Soards Creek,2021-07-01,SOARDS CREEK,52.041667,-118.643417,Full,2021
-123.276698656294,49.9460056194238,North Cloudburst Mountain,0,8.27,North Cloudburst Mountain,V32358,North Cloudburst Mountain,2021-08-03 5:07:00 PM,NORTH CLOUDBURST MT,49.946,-123.276683,Full,2021
-115.175680968359,49.1195064912201,Dorr Road,0,0.09,Dorr Road,N11861,Dorr Road,2021-07-12 7:10:07 PM,DORR ROAD,49.1195,-115.175667,Full,2021
-119.090432516204,51.902539209381,N of Tumtum Lake,0,0.009,N of Tumtum Lake,K22538,N of Tumtum Lake,2021-07-25 6:51:16 PM,North of TumTum Lake,51.902533,-119.090417,Monitor,2021
-120.942481615967,50.770955933402,Deadman River,0,0.009,Deadman River,K21619,Deadman River,2021-07-08 6:05:32 PM,Big Sky Gas Station,50.77095,-120.942466,Full,2021
-129.866536852992,58.1364548973844,Tees Creek,0,0.272,Tees Creek,R91466,Tees Creek,2021-07-05 2:00:00 PM,,58.13645,-129.866517,Full,2021
-122.360966233117,52.3117228247664,Collins Creek,0,0.009,Collins Creek,C22362,Collins Creek,2021-08-02 5:36:11 PM,,52.311717,-122.36095,Full,2021
-124.633045969621,53.3573545687682,Tatelkuz Lake,0,5,Tatelkuz Lake,G41728,Tatelkuz Lake,2021-07-09 6:00:00 PM,G41728,53.357349,-124.633029,Full,2021
-116.988030934199,51.3232894280971,Anderson Road,0,0.009,Anderson Road,N40161,Anderson Road,2021-04-10 3:30:20 AM,Anderson Road,51.323283,-116.988016,Monitor,2021
-121.766183007888,51.9337888843606,N of Enterprise Rd,,N,0.009,N of Enterprise Rd, S side Highway 97 Ditch,C21198,N of Enterprise Rd, S side Highway 97 Ditch,2021-07-01 4:30:00 PM,,51.933783
-120.740799109704,52.7867390461976,Penfold Creek,0,0.5,Penfold Creek,C32152,Penfold Creek,2021-07-22 10:00:20 PM,,52.786733,-120.740783,Full,2021
-119.193798446073,51.6170891825641,Adams River,0,0.009,Adams River,K21253,Adams River,2021-07-01 9:28:39 PM,Adams River,51.617083,-119.193783,Full,2021
-120.423248998576,52.6293560790217,Niagara Creek,0,1512,Niagara Creek,C31947,Niagara Creek,2021-07-15 1:30:20 PM,,52.62935,-120.423233,Monitor,2021
-121.619150212862,55.3139060219438,West of Gwillim Lake Provincial Park,0,0.009,West of Gwillim Lake Provincial Park,G71285,West of Gwillim Lake Provincial Park,2021-07-02 3:12:24 PM,,55.3139,-121.619133,Full,2021
-121.543049290738,52.8980059502383,McMartin Creek,0,0.3,McMartin Creek,C12029,McMartin Creek,2021-07-17 1:44:10 PM,,52.898,-121.543033,Full,2021
-122.604833958981,54.2293228592048,HWY 97 S of Summit Lake,0,0.009,HWY 97 S of Summit Lake,G10296,HWY 97 S of Summit Lake,2021-04-18 12:09:37 PM,Hwy 97 - Tay Creek,54.229317,-122.604817,Monitor,2021
-116.965181463251,49.6657733312605,Balfour Knob,1,0.61,Balfour Knob,N70885,Balfour Knob,2021-06-22 3:45:12 PM,BALFOUR KNOB,49.665767,-116.965167,Full,2021
-122.141848734583,50.8518387930086,Bridge River,0,0.009,Bridge River,K72942,Bridge River,2022-03-16 2:25:39 PM,K72942,50.851833,-122.141833,Full,2021
-114.789131150529,50.1260896033914,Chauncey Creek,0,0.009,Chauncey Creek,N12888,Chauncey Creek,2021-10-10 7:00:58 PM,CHAUNCEY CREEK,50.126083,-114.789117,Full,2021
-115.785291240125,49.697228463835,Eager Hill,0,0.015,Eager Hill,N10801,Eager Hill,2021-06-15 4:55:28 AM,EAGER HILL,49.697222,-115.785277,Full,2021
-119.62064808399,49.9057721543929,McDougal Creek,0,0.009,McDougal Creek,K51176,McDougal Creek,2021-07-01 11:19:33 AM,,49.905766,-119.620633,Full,2021
-121.224748575526,50.8421889025414,Back Valley Road,0,0.02,Back Valley Road,K20409,Back Valley Road,2021-04-25 6:00:00 AM,Back Valley Rd,50.842183,-121.224733,Full,2021
-124.708682734295,49.4356724296339,Cowland Road,0,0.009,Cowland Road,V71309,Cowland Road,2021-07-02 12:00:10 AM,,49.435667,-124.708667,Full,2021
-119.97924790405,49.2225889658434,Paul Road,0,1.5,Paul Road,K51241,Paul Road,2021-07-02 8:25:43 AM,,49.222583,-119.979233,Full,2021
-120.043348460749,51.1538390585313,Dixon Mountain,0,0.4,Dixon Mountain,K20525,Dixon Mountain,2021-05-15 8:22:39 PM,Dixon Mountain,51.153833,-120.043333,Modified,2021
-119.323515111849,50.4111731050918,Hwy 97 South of Round Lake,0,4,Hwy 97 South of Round Lake,K40711,Hwy 97 South of Round Lake,2021-06-03 9:54:00 AM,South of Round Lake,50.411167,-119.3235,Full,2021
-125.883067531687,54.3289884267743,Tom Drive Palling,0,1.5,Tom Drive Palling,R10362,Tom Drive Palling,2021-04-21 11:39:00 AM,TOM DRIVE,54.328983,-125.88305,Full,2021
-121.871315260892,49.3441387564554,Weaver Lake Campsite,0,0.009,Weaver Lake Campsite,V12815,Weaver Lake Campsite,2021-09-06 6:00:00 PM,Weaver Lake,49.344133,-121.8713,Full,2021
-115.513964350136,50.3115065346153,Forsite,0,0.6,Forsite,N22053,Forsite,2021-07-11 8:00:00 AM,FORSITE,50.3115,-115.51395,Full,2021
-118.273947964231,50.5728892360345,Hobson Peak,0,1122,Hobson Peak,K42140,Hobson Peak,2021-07-21 3:05:05 PM,HOBSON PEAK,50.572883,-118.273933,Modified,2021
-125.105965849914,49.6387223909647,Comox Lake,0,0.01,Comox Lake,V80976,Comox Lake,2021-06-28 2:24:12 AM,Comox Lake,49.638717,-125.10595,Full,2021
-123.153199262685,52.0020727144389,Anahim Flats Reserve,0,35,Anahim Flats Reserve,C50184,Anahim Flats Reserve,2021-04-13 2:00:00 PM,,52.002067,-123.153183,Full,2021
-124.509065682294,49.3577054504656,LIttle Qualicum River,0,0.009,LIttle Qualicum River,V70580,LIttle Qualicum River,2021-05-22 5:00:51 PM,,49.3577,-124.50905,Full,2021
-126.618732332673,50.1768713369076,Woss Lake,0,0.009,Woss Lake,V90498,Woss Lake,2021-05-13 12:11:31 PM,,50.176866,-126.618716,Full,2021
-122.29473272503,50.7330727699842,N of Seton Portage,0,0.05,N of Seton Portage,K71236,N of Seton Portage,2021-07-01 9:00:00 PM,N OF SETON PORTAGE,50.733067,-122.294717,Full,2021
-122.65796573489,50.5662057188958,Birkenhead Campground,0,0.009,Birkenhead Campground,V30657,Birkenhead Campground,2021-05-23 11:48:17 AM,BIRKENHEAD CAMPGR...,50.5662,-122.65795,Full,2021
-124.263932592708,49.1653384712404,Jack Ridge,0,0.1,Jack Ridge,V70913,Jack Ridge,2021-06-25 1:57:01 PM,,49.165333,-124.263917,Full,2021
-125.562650429973,54.1941054668406,Bartlett Rd,0,1.3,Bartlett Rd,R10247,Bartlett Rd,2021-04-16 1:34:00 PM,Bartlett rd,54.1941,-125.562633,Full,2021
-119.952132334124,50.7822230511959,7.5km Hyas Rd,0,0.009,7.5km Hyas Rd,K22844,7.5km Hyas Rd,2021-09-16 11:55:45 AM,Hyas Lake,50.782217,-119.952117,Full,2021
-124.019048539746,49.105155497435,Nanaimo Lakes Road #2,0,0.009,Nanaimo Lakes Road #2,V70491,Nanaimo Lakes Road #2,2021-05-11 8:05:04 PM,,49.10515,-124.019033,Full,2021
-120.57966582636,52.0157730330995,2km W of Hidden Lake,0,0.009,2km W of Hidden Lake,C42350,2km W of Hidden Lake,2021-08-03 10:30:00 AM,,52.015767,-120.57965,Full,2021
-123.816933814365,53.2900386727727,Titetown Lake,0,0.009,Titetown Lake,C12383,Titetown Lake,2021-08-03 2:48:19 PM,,53.290033,-123.816917,Full,2021
-119.718732087864,50.0704060413855,Esperon Creek,0,0.1,Esperon Creek,K51612,Esperon Creek,2021-07-08 1:42:34 PM,ESPERON CREEK,50.0704,-119.718717,Full,2021
-122.226183255304,52.4452228468432,Sheridan Creek,0,0.1,Sheridan Creek,C22224,Sheridan Creek,2021-07-27 1:25:00 PM,,52.445217,-122.226167,Full,2021
-121.504882824105,51.4988728982086,NE of Flat Lake,0,0.009,NE of Flat Lake,C41481,NE of Flat Lake,2021-07-05 4:44:25 PM,,51.498867,-121.504867,Full,2021
-121.184150600075,56.4126231119714,Red Creek Rd,0,0.009,Red Creek Rd,G80243,Red Creek Rd,2021-04-15 7:24:54 PM,,56.412617,-121.184133,Full,2021
-121.741632322423,49.6500227857933,Hornet Creek #3,0,0.009,Hornet Creek #3,V12352,Hornet Creek #3,2021-07-31 6:46:05 AM,,49.650017,-121.741617,Full,2021
-119.953732806082,52.303756122783,S Tributary to Angus Horn Creek,0,2169,S Tributary to Angus Horn Creek,K22230,S Tributary to Angus Horn Creek,2021-07-25 4:06:11 PM,SOUTH TRIBUTARY T...,52.30375,-119.953717,Monitor,2021
-119.071014794421,49.422906080156,La Porte Creek,0,0.009,La Porte Creek,N62170,La Porte Creek,2021-07-24 8:45:46 PM,LA PORTE CREEK,49.4229,-119.071,Full,2021
-124.960400126758,53.6439225329648,Cheslatta Falls,0,0.3,Cheslatta Falls,G42633,Cheslatta Falls,2021-08-04 6:19:59 PM,,53.643917,-124.960383,Full,2021
-124.515315858733,49.9801884734528,Pickle Point,0,0.009,Pickle Point,V52497,Pickle Point,2021-08-08 6:54:32 AM,,49.980183,-124.5153,Full,2021
-124.525250175644,53.9560055984728,Lily Lake,0,0.009,Lily Lake,G42913,Lily Lake,2021-10-27 9:33:19 AM,Lilly Lake,53.956,-124.525233,Full,2021
-125.267449934045,52.9798554763566,8km E of Pettry Lake,0,0.5,8km E of Pettry Lake,C12321,8km E of Pettry Lake,2021-08-01 6:28:00 PM,,52.97985,-125.267433,Full,2021
-124.775867269139,54.095005569069,Fraser Lake,0,0.009,Fraser Lake,G41537,Fraser Lake,2021-07-06 3:30:30 PM,,54.095,-124.77585,Full,2021
-123.026854021075,55.0489424928967,Tudyah Lake,0,0.009,Tudyah Lake,G62621,Tudyah Lake,2021-08-15 2:00:00 PM,,55.048937,-123.026837,Full,2021
-121.587932458107,50.225205831339,South Spencer Road West of Lytton,0,0.86,South Spencer Road West of Lytton,K70430,South Spencer Road West of Lytton,2021-04-29 12:30:00 PM,South Spencer Rd.,50.2252,-121.587917,Full,2021
-120.699584405592,56.1797561711723,238 RD North of Taylor,0,8,238 RD North of Taylor,G80389,238 RD North of Taylor,2021-04-22 5:30:00 PM,238 rd Fire,56.17975,-120.699567,Full,2021
-121.553598681233,51.0054228702303,1km S of Kay Creek,0,0.13,1km S of Kay Creek,C41740,1km S of Kay Creek,2021-07-10 12:13:04 AM,,51.005417,-121.553583,Full,2021
-121.435149606689,53.8402889984264,Ancient Forest,0,0.03,Ancient Forest,G12341,Ancient Forest,2021-08-03 11:14:14 AM,,53.840283,-121.435133,,2021
-121.008949539711,53.8674560542061,Torpy River,0,0.06,Torpy River,G11750,Torpy River,2021-07-10 10:49:18 AM,,53.86745,-121.008933,Monitor,2021
-123.924315664146,49.6149725289651,Harris Lake,0,0.05,Harris Lake,V52116,Harris Lake,2021-07-21 6:00:00 PM,Harris Lake,49.614967,-123.9243,Full,2021
-120.815865773627,51.7186889914291,Drewry Lake,0,0.009,Drewry Lake,C42016,Drewry Lake,2021-07-16 5:00:07 PM,,51.718683,-120.81585,Full,2021
-117.776732196264,51.6789563548678,Palmer Creek #2 -MR,0,0.3,Palmer Creek #2 -MR,N42464,Palmer Creek #2 -MR,2021-08-04 2:40:03 PM,PALMER CREEK #2-MR,51.67895,-117.776717,Modified,2021
-119.986264900853,49.2072229640057,Ashnola Road,0,2.6,Ashnola Road,K50654,Ashnola Road,2021-05-27 1:43:49 PM,ASHNOLA ROAD,49.207217,-119.98625,Full,2021
-118.1730984175,52.1410393314405,Wood Arm - MR,0,26,Wood Arm - MR,N42291,Wood Arm - MR,2021-07-25 8:24:24 PM,WOOD ARM - MR,52.141033,-118.173083,Modified,2021
-120.841465837302,51.9057389964277,W of Succour Lake,0,3006,W of Succour Lake,C41191,W of Succour Lake,2020-07-01 3:06:26 PM,,51.905733,-120.84145,Full,2021
-122.625732654764,50.3089227121216,Mt. Currie Rodeo Grounds,0,0.009,Mt. Currie Rodeo Grounds,V30163,Mt. Currie Rodeo Grounds,2021-04-10 5:00:00 PM,LILLOOET LAKE ROD...,50.308917,-122.625717,Modified,2021
-118.908881899886,49.9205391262054,Derickson Lake,1,1140,Derickson Lake,K51041,Derickson Lake,2021-06-29 2:10:54 PM,Derickson lake,49.920533,-118.908867,Full,2021
-115.460147083891,49.3488564761025,Rocky Creek,0,0.009,Rocky Creek,N11943,Rocky Creek,2021-07-12 7:55:18 PM,ROCKY CREEK,49.34885,-115.460133,Full,2021
-118.598565463091,52.0280892747766,Swords Creek,0,0.03,Swords Creek,N41909,Swords Creek,2021-07-05 4:15:23 PM,SWORDS CREEK,52.028083,-118.59855,Full,2021
-116.917514522039,49.9208393522154,Wardner trail,0,0.009,Wardner trail,N70510,Wardner trail,2021-05-14 6:00:56 PM,Wardener Trail,49.920833,-116.9175,Full,2021
-122.986466951426,54.0362058033841,18605 Chief Lake Road,0,0.009,18605 Chief Lake Road,G10421,18605 Chief Lake Road,2021-04-26 5:11:47 PM,,54.0362,-122.98645,Full,2021
-128.387450899202,54.1867550858901,Big Cedar,0,0.009,Big Cedar,R51502,Big Cedar,2021-07-05 5:03:21 PM,,54.18675,-128.387433,Full,2021
-117.709265260197,51.9284393760111,Sullivan Arm - MR,0,41,Sullivan Arm - MR,N41848,Sullivan Arm - MR,2021-07-11 2:39:18 AM,SULLIVAN ARM - MR,51.928433,-117.70925,Modified,2021
-117.805797837147,50.4396392829602,St Leon Creek,0,0.02,St Leon Creek,N51366,St Leon Creek,2021-07-03 7:50:01 PM,ST LEON CREEK,50.439633,-117.805783,Full,2021
-121.213249969154,54.8935390624292,27 km on Murray FSR,0,0.009,27 km on Murray FSR,G72734,27 km on Murray FSR,2021-08-26 5:15:30 PM,,54.893533,-121.213233,Full,2021
-123.804632442251,48.8637055113445,Copper Canyon,1,32,Copper Canyon,V62452,Copper Canyon,2021-08-05 10:26:00 PM,Copper Canyon,48.8637,-123.804617,Full,2021
-116.932547538642,49.9691393533812,Shutty Bench,0,0.01,Shutty Bench,N71647,Shutty Bench,2021-07-05 4:15:40 PM,Shutty Bench,49.969133,-116.932533,Full,2021
-120.776415276408,50.0750059186782,HWY 5,0,0.009,HWY 5,K62220,HWY 5,2021-07-28 5:35:35 AM,Highway 5,50.075,-120.7764,Full,2021
-115.767381263963,49.8015564731056,Wasa Lake,0,0.02,Wasa Lake,N10400,Wasa Lake,2021-04-23 1:00:07 PM,WASA LAKE,49.80155,-115.767367,Full,2021
-120.781398763229,51.7055559949347,2.3km N of Deka Lake,0,330,2.3km N of Deka Lake,C41515,2.3km N of Deka Lake,2021-07-05 6:21:22 PM,,51.70555,-120.781383,Full,2021
-123.514899880476,53.6097057212673,Bobtail Lake,0,0.25,Bobtail Lake,G42551,Bobtail Lake,2021-08-11 3:00:48 PM,,53.6097,-123.514883,Full,2021
-120.953485989819,59.3223562114766,Kwokullie #1,0,6,Kwokullie #1,G90986,Kwokullie #1,2021-06-28 2:55:00 AM,,59.32235,-120.953467,Full,2021
-118.908015253521,51.1594391937796,Hunakwa Lake,0,3355,Hunakwa Lake,K41676,Hunakwa Lake,2021-07-08 6:33:21 PM,Hunakwa lake,51.159433,-118.908,Full,2021
-118.471881629426,49.2134561343886,Glover Creek,0,0.009,Glover Creek,N61663,Glover Creek,2021-06-05 7:27:22 PM,GLOVER CREEK,49.21345,-118.471867,Full,2021
-118.731882086895,50.7039561898007,Holiday Lake,0,0.15,Holiday Lake,K42492,Holiday Lake,2021-08-07 8:00:00 AM,HOLIDAY LAKE,50.70395,-118.731867,Full,2021
-123.539695623489,53.1908595953744,Trout Lake,0,0.3,Trout Lake,C12322,Trout Lake,2021-08-02 4:00:16 PM,Trout Lake,53.190854,-123.539679,Full,2021
-119.195898723999,52.3043731557581,Miledge Creek,0,0.009,Miledge Creek,G31896,Miledge Creek,2021-07-13 7:44:42 AM,Miledge creek,52.304367,-119.195883,Full,2021
