Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
12,FLNRO-WMB,341,1887,ZZ KAL LK. II,2290,BC,-119.2767,50.2367,457.0,1987-07-29,2001-01-01,Hourly,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
9,ENV-AQN,E249492,2619,Vernon Science Centre,3022,BC,-119.2702778,50.26083333,385.0,2003-11-26,2023-12-24,Hourly,Relative Humidity|Relative Humidity (Point)|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
2,MoTIe,23097,2690,Kalamalka Lookout,3433,BC,-119.30607,50.2112,570.0,1998-12-30,2024-01-14,Hourly,Air Pressure|Air Pressure (Point)|Dew Point Temperature|Dew Point Temperature (Mean)|Precipitation (Cumulative)|Precipitation 24hr|Precipitation Amount|Precipitation Climatology|Rainfall Amount|Relative Humidity|Relative Humidity (Mean)|Sea Level Pressure|Snow Depth|Snowfall|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Mean)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)|Wind Direction|Wind Direction (Mean)|Wind Direction (Point)|Wind Direction (Std Dev)|Wind Gust|Wind Speed|Wind Speed (Max.)|Wind Speed (Mean)|Wind Speed (Point)
1,EC,1128582,3261,VERNON AUTO,4100,BC,-119.1935556,50.22308056,482.0,2005-01-02,2017-12-31,Unspecified,Precipitation Amount|Temperature (Max.)|Temperature (Min.)
17,ARDA,112025,4841,SPOOR,6521,BC,-119.236111111111,50.2958333333333,521.0,1975-06-24,1975-08-26,Daily,Temperature (Max.)|Temperature (Min.)
17,ARDA,112232,4991,KALAMALKA,6671,BC,-119.344166666667,50.1875,482.0,1971-06-28,1972-09-29,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
17,ARDA,112234,4992,BELLAVISTA,6672,BC,-119.295833333333,50.2666666666667,466.0,1971-03-18,1972-10-29,Daily,Precipitation (Cumulative)|Relative Humidity (Mean)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
17,ARDA,112242,4994,SWAN LAKE,6674,BC,-119.239166666667,50.295,500.0,1971-04-07,1972-10-29,Daily,Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
19,EC_raw,1128581,6666,Vernon,8351,BC,-119.1935556,50.22330556,482.0,2011-05-31,2013-01-21,Hourly,Air Pressure Tendency|Dew Point Temperature (Point)|Mean Sea Level|Precipitation Amount|Relative Humidity (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Point)
19,EC_raw,1128582,10836,Vernon,12978,BC,-119.19,50.22,482.0,2010-03-02,2024-01-12,Hourly,Air Pressure Tendency|Dew Point Temperature (Point)|Mean Sea Level|Precipitation Amount|Relative Humidity (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Point)
9,ENV-AQN,Vernon Science Centre,12585,,14607,BC,-119.270723,50.260617,,2020-07-27,2020-11-22,Unspecified,Relative Humidity (Point)|Wind Direction (Point)
