X,Y,Name,FIRE_OF_NOTE_IND,FIRE_SIZE_HA,Field_1,Fire Number,GEOGRAPHIC,IGNITION DATE,INCIDENT_NAME,LATITUDE,LONGITUDE,RESPONSE_TYPE_DESC,YEAR
-120.444682057389,49.4893889275827,Iron Mt Road,0,0.1,Iron Mt Road,K61792,Iron Mt Road,2022/08/21 05:42:51,Baldy Mountain,49.489383,-120.444667,Full,2022
-116.369881344399,49.6573893965549,Bonner Mountain,0,0.009,Bonner Mountain,N10730,Bonner Mountain,2022/07/20 09:07:09,,49.657383,-116.369867,Full,2022
-122.175149017756,51.7454228257001,Joes Lake Rd,0,0.2,Joes Lake Rd,C22236,Joes Lake Rd,2022/09/02 06:14:00,,51.745417,-122.175133,Full,2022
-124.915182720246,49.2735883992095,Ash Main,0,0.45,Ash Main,V72704,Ash Main,2022/10/14 07:00:00,ASH MAIN,49.273583,-124.915167,Full,2022
-122.178632735077,50.8322057877069,Camoo Creek,0,0.009,Camoo Creek,K71399,Camoo Creek,2022/08/12 01:49:58,CAMOO CREEK,50.8322,-122.178617,Full,2022
-126.36714910896,49.9097052488879,Muchalat Lake,0,0.009,Muchalat Lake,V82154,Muchalat Lake,2022/08/09 10:55:34,MUCHALAT LAKE,49.9097,-126.367133,Full,2022
-122.04101548677,50.0594227703637,Backside Mehatl creek,0,0.009,Backside Mehatl creek,V11596,Backside Mehatl creek,2022/08/19 05:06:21,BACKSIDE MEHATL CRK,50.059417,-122.041,,2022
-121.59074953087,52.6095726031151,Slum Gulch Creek,0,0.09,Slum Gulch Creek,C31910,Slum Gulch Creek,2022/08/23 11:59:00,SLUM GULCH CREEK ...,52.609567,-121.590733,Full,2022
-120.068448856888,52.3972231133456,North Azure Lake,0,17.7,North Azure Lake,K21255,North Azure Lake,2022/08/01 04:12:30,North Azure Lake,52.397217,-120.068433,Monitor,2022
-117.684931700918,50.0343232726233,Cariboo Creek 2,0,0.6,Cariboo Creek 2,N51466,Cariboo Creek 2,2022/08/15 12:00:39,,50.034317,-117.684917,Full,2022
-120.277417157303,55.7870232154929,Dawson Creek LP Plant,0,4.1,Dawson Creek LP Plant,G72491,Dawson Creek LP Plant,2022/09/24 01:00:39,,55.787017,-120.2774,Full,2022
-117.738097908321,50.7363893073029,Beaton Creek,0,0.015,Beaton Creek,N51456,Beaton Creek,2022/08/12 05:12:37,,50.736383,-117.738083,Full,2022
-121.237932079082,49.0632228149484,Maseplank Creek,0,0.2,Maseplank Creek,V12111,Maseplank Creek,2022/08/27 03:57:54,Maseplank Creek,49.063217,-121.237917,Full,2022
-124.800349722688,52.5856725253667,9km NW Zeta Mountain,0,7.5,9km NW Zeta Mountain,C52039,9km NW Zeta Mountain,2022/08/26 02:17:48,,52.585667,-124.800333,Full,2022
-125.050034100734,53.5354225186501,Lucas Creek,0,0.009,Lucas Creek,G40347,Lucas Creek,2022/06/27 05:11:58,,53.535417,-125.050017,Full,2022
-124.7247485633,48.7931884022083,Nitinat Lake,0,0.009,Nitinat Lake,V71167,Nitinat Lake,2022/08/10 06:25:47,NITINAT LAKE,48.793183,-124.724733,Modified,2022
-122.779350882632,56.3891728939242,Graham River,0,63,Graham River,G82184,Graham River,2022/08/29 10:44:02,,56.389167,-122.779333,Monitor,2022
-126.370067653617,54.4473553635844,Swans Lake,0,0.009,Swans Lake,R22771,Swans Lake,2022/10/17 09:53:48,,54.44735,-126.37005,Monitor,2022
-122.626299169949,51.9835557799886,Riske Creek,0,2.2,Riske Creek,C20043,Riske Creek,2022/04/12 04:29:00,C20043,51.98355,-122.626283,Full,2022
-119.417015282313,50.9389731220612,5km NNW of Scotch Creek,0,0.009,5km NNW of Scotch Creek,K40828,5km NNW of Scotch Creek,2022/07/29 08:00:00,Scotch Creek,50.938967,-119.417,Full,2022
-118.86963178545,49.5290061088505,Deer Creek 2,0,0.009,Deer Creek 2,N61927,Deer Creek 2,2022/08/23 05:30:13,,49.529,-118.869617,Full,2022
-122.940684799078,56.1373388654852,Folded Hill Creek,0,1661.7,Folded Hill Creek,G60782,Folded Hill Creek,2022/06/22 07:14:00,,56.137333,-122.940667,Monitor,2022
-120.90671523542,49.8505058928435,Brookmere Rd,0,0.009,Brookmere Rd,K61487,Brookmere Rd,2022/08/15 12:00:00,,49.8505,-120.9067,Full,2022
-116.359881219097,49.1798393659775,Six Mile Creek,0,55.1,Six Mile Creek,N71011,Six Mile Creek,2022/08/02 10:30:15,,49.179833,-116.359867,Full,2022
-121.227034552279,56.2850391027527,Bear Flats,0,8,Bear Flats,G80182,Bear Flats,2022/05/13 03:40:00,,56.285033,-121.227017,Full,2022
-123.67101633443,51.9618386486702,Chilko /Taseko River  Junction,0,0.009,Chilko /Taseko River  Junction,C51284,Chilko /Taseko River  Junction,2022/08/11 05:05:58,,51.961833,-123.671,Full,2022
-119.960265866298,52.4855391304949,East of Ovis Creek,0,0.009,East of Ovis Creek,K21258,East of Ovis Creek,2022/08/11 04:24:06,East of Ovis Creek,52.485533,-119.96025,Monitor,2022
-128.926068180746,54.8496380197822,S of Furlong Creek,0,0.1,S of Furlong Creek,R50468,S of Furlong Creek,2022/07/03 05:40:41,,54.849633,-128.92605,Modified,2022
-116.738897274713,49.1077733203573,Buckworth Creek,0,0.009,Buckworth Creek,N71246,Buckworth Creek,2022/08/11 09:37:12,,49.107767,-116.738883,Full,2022
-118.026231774338,50.0625062356326,Mount Ingersoll,0,0.8,Mount Ingersoll,N51501,Mount Ingersoll,2022/08/12 10:45:35,,50.0625,-118.026217,Full,2022
-120.753265281518,50.1068059229004,Hamilton Creek,0,3.6,Hamilton Creek,K60324,Hamilton Creek,2022/06/23 02:10:00,,50.1068,-120.75325,Full,2022
-117.02814745063,49.5686233176801,Mill Creek,0,0.009,Mill Creek,N72087,Mill Creek,2022/08/24 11:43:22,Mill Cr.,49.568617,-117.028133,Full,2022
-121.927915899748,51.5059058469747,Meadow Lake FSR,0,35,Meadow Lake FSR,C41547,Meadow Lake FSR,2022/08/18 08:28:07,,51.5059,-121.9279,Full,2022
-116.323731309867,49.5575393953058,Mount Evans,0,422,Mount Evans,N11134,Mount Evans,2022/08/08 01:00:35,,49.557533,-116.323717,Modified,2022
-116.266264162469,49.0304233664986,Tally Creek,0,0.5,Tally Creek,N71855,Tally Creek,2022/08/23 10:47:02,Tally Creek,49.030417,-116.26625,Full,2022
-117.427797448344,49.2689562546149,Grassy Creek,0,0.6,Grassy Creek,N52577,Grassy Creek,2022/10/03 05:25:25,,49.26895,-117.427783,Full,2022
-117.398565229214,52.0277234185052,Bush Arm,0,0.3,Bush Arm,N40653,Bush Arm,2022/07/17 11:49:36,Bush River 1,52.027717,-117.39855,Full,2022
-119.070598187963,49.6594394230221,West Kettle River,0,6.7,West Kettle River,K52708,West Kettle River,2022/10/14 10:00:23,West Kettle,49.659433,-119.070583,Full,2022
-116.929664295036,49.0411732949642,Maryland Creek FSR,0,0.009,Maryland Creek FSR,N71979,Maryland Creek FSR,2022/08/25 01:16:51,Maryland Creek,49.041167,-116.92965,Full,2022
-117.762347590092,49.5660062353294,Russell Creek,0,0.12,Russell Creek,N51903,Russell Creek,2022/08/23 08:30:00,,49.566,-117.762333,Full,2022
-117.980864985769,50.8423892847371,North Shoulder Mt. McCrea,0,0.009,North Shoulder Mt. McCrea,N41659,North Shoulder Mt. McCrea,2022/08/19 06:00:00,,50.842383,-117.98085,Full,2022
-122.17303426037,55.184572944605,Burnt River,0,0.2,Burnt River,G71714,Burnt River,2022/08/20 04:21:43,,55.184567,-122.173017,Monitor,2022
-121.817048585116,50.5318388180692,South of Texas Creek,0,0.7,South of Texas Creek,K72016,South of Texas Creek,2022/08/24 00:00:00,South of Texas Creek,50.531833,-121.817033,Full,2022
-118.213648049241,50.9084232614532,East Ridge of Mt Begbie,0,0.009,East Ridge of Mt Begbie,N41594,East Ridge of Mt Begbie,2022/08/19 03:50:00,East Ridge Mt Begbie,50.908417,-118.213633,Full,2022
-128.771451146253,54.8182220406813,S Douglas FSR,0,50,S Douglas FSR,R51137,S Douglas FSR,2022/08/08 03:00:00,Wesach Creek,54.818217,-128.771433,Full,2022
-123.498232549141,49.438005571633,Hutchinson Creek,0,0.009,Hutchinson Creek,V52552,Hutchinson Creek,2022/10/02 11:00:00,Hutchinson Creek,49.438,-123.498217,Full,2022
-120.503032374822,50.5864389763245,Timber Lake FSR,0,0.009,Timber Lake FSR,K20093,Timber Lake FSR,2022/04/22 01:40:00,Timber Lake FSR,50.586433,-120.503017,Full,2022
-122.395798755176,50.7767557593144,Nosebag Creek,0,0.009,Nosebag Creek,K71446,Nosebag Creek,2022/08/12 06:55:00,,50.77675,-122.395783,Full,2022
-122.133217922844,56.7373889906358,KM 12 W Gundy Rd,0,21.6,KM 12 W Gundy Rd,G82769,KM 12 W Gundy Rd,2022/10/21 09:00:00,,56.737383,-122.1332,Modified,2022
-124.278816665091,52.6574555941259,East End of Clusko River,0,0.1,East End of Clusko River,C51850,East End of Clusko River,2022/08/22 05:15:24,,52.65745,-124.2788,Full,2022
-120.752116939127,55.0315231278447,One Island Lake,0,1.82,One Island Lake,G71939,One Island Lake,2022/08/24 08:21:58,,55.031517,-120.7521,Full,2022
-115.939297297293,49.7972064533081,Houle Creek,0,0.1,Houle Creek,N12598,Houle Creek,2022/10/03 10:54:23,,49.7972,-115.939283,Full,2022
-121.609682477413,50.281205830932,Fraser Walking Bridge Road,0,60,Fraser Walking Bridge Road,K72863,Fraser Walking Bridge Road,2023/03/12 01:29:12,K72863,50.2812,-121.609667,,2022
-120.057682011014,49.5694559755194,Red-Isintok FSR,0,0.1,Red-Isintok FSR,K62232,Red-Isintok FSR,2022/08/27 10:14:32,,49.56945,-120.057667,Full,2022
-121.548815621628,50.8091388623999,Harry Creek,0,0.009,Harry Creek,K21584,Harry Creek,2022/08/19 04:20:20,,50.809133,-121.5488,Full,2022
-115.423414101415,49.4463394871247,Wardner Fort Steel Rd,0,3,Wardner Fort Steel Rd,N10132,Wardner Fort Steel Rd,2022/04/29 09:00:00,Wardner Fort Steele,49.446333,-115.4234,Full,2022
-119.374548852262,52.7714562147448,Westridge,0,0.009,Westridge,G30964,Westridge,2022/07/31 09:37:10,,52.77145,-119.374533,Full,2022
-120.707833368159,53.5433730798905,Crescent Spur on Loose Road,0,0.2,Crescent Spur on Loose Road,G30090,Crescent Spur on Loose Road,2022/04/22 12:35:55,,53.543367,-120.707817,Monitor,2022
-122.287600480588,55.6659229424852,Crassier Creek,0,0.009,Crassier Creek,G71788,Crassier Creek,2022/08/22 03:30:17,Crassier Creek,55.665917,-122.287583,Monitor,2022
-121.91593262643,50.615855810402,Brew Ridge,0,0.1,Brew Ridge,K72084,Brew Ridge,2022/08/25 03:46:57,K72084,50.61585,-121.915917,Monitor,2022
-123.604016665724,52.9682556905058,Km 92 Nazko Rd,0,0.009,Km 92 Nazko Rd,C11236,Km 92 Nazko Rd,2022/08/11 00:00:00,,52.96825,-123.604,Full,2022
-120.829798397892,50.4705559323826,Gump Creek #2,0,0.009,Gump Creek #2,K21428,Gump Creek #2,2022/08/13 06:16:37,,50.47055,-120.829783,Full,2022
-119.575764925848,49.5741060308826,2 km N of Turnbull Creek,0,0.5,2 km N of Turnbull Creek,K52277,2 km N of Turnbull Creek,2022/09/05 12:14:16,Naramata Fire,49.5741,-119.57575,Full,2022
-125.484682853404,49.4520053389167,Love Creek,0,0.01,Love Creek,V71340,Love Creek,2022/08/12 01:19:10,LOVE CREEK,49.452,-125.484667,Full,2022
-121.709415959188,51.8131058862036,W of Philillo Lake,0,0.009,W of Philillo Lake,C41007,W of Philillo Lake,2022/08/01 08:33:07,,51.8131,-121.7094,Full,2022
-117.770881852477,50.5212562914534,Halfway River #3,0,0.045,Halfway River #3,N51470,Halfway River #3,2022/08/11 02:07:30,Halfway River #3,50.52125,-117.770867,Full,2022
-124.761431689409,49.2418054163482,Burde St,0,0.009,Burde St,V72453,Burde St,2022/09/17 03:00:16,BURDE ST,49.2418,-124.761416,Full,2022
-121.38351513507,49.180555803893,Mount Nowell #1,0,0.3,Mount Nowell #1,V11894,Mount Nowell #1,2022/08/22 03:18:26,MOUNT NOWELL #1,49.18055,-121.3835,Full,2022
-124.853132704786,49.2505384057525,Alberni Landfill,0,0.3,Alberni Landfill,V72711,Alberni Landfill,2022/10/14 02:00:38,ALBERNI LANDFILL,49.250533,-124.853117,Full,2022
-125.588116857065,52.6237134255075,Beef Trail Creek,0,3.72,Beef Trail Creek,C52467,Beef Trail Creek,2022/09/18 08:21:41,,52.623708,-125.5881,Full,2022
-117.493782073382,51.4564733759641,Mountain Creek - Parks Canada,0,2.52,Mountain Creek - Parks Canada,N40738,Mountain Creek - Parks Canada,2022/07/24 03:10:32,Mountain creek,51.456467,-117.493767,Full,2022
-120.375966353623,53.6746231279328,Morkill FSR,0,0.1,Morkill FSR,G31579,Morkill FSR,2022/08/19 10:11:04,,53.674617,-120.37595,Full,2022
-120.419615350143,50.5535390443328,Goose Lake FSR,0,0.009,Goose Lake FSR,K20164,Goose Lake FSR,2022/05/08 11:44:09,12 km Goose Lk FSR,50.553533,-120.4196,Full,2022
-123.717317821516,55.8794227530935,West Parnsip KM 79,0,0.98,West Parnsip KM 79,G60665,West Parnsip KM 79,2022/06/15 11:00:00,,55.879417,-123.7173,Full,2022
-116.759514668133,50.56292340946,Tea Creek,0,0.3,Tea Creek,N72023,Tea Creek,2022/08/24 09:42:33,,50.562917,-116.7595,Full,2022
-121.062216110403,52.6205389992978,Mt. Stevenson,0,0.009,Mt. Stevenson,C31034,Mt. Stevenson,2022/07/17 05:17:00,,52.620533,-121.0622,Full,2022
-120.857716155605,52.8613390343229,Cameron Creek,0,0.09,Cameron Creek,C31680,Cameron Creek,2022/08/19 05:38:00,Cameron Creek,52.861333,-120.8577,Monitor,2022
-121.869998437806,49.9866557865189,Nahatlatch Needle - MONITOR ONLY,0,124,Nahatlatch Needle - MONITOR ONLY,V12158,Nahatlatch Needle - MONITOR ONLY,2022/08/30 02:00:00,,49.98665,-121.869983,Monitor,2022
-121.738648917207,51.6660888762277,Snag Lake,0,0.09,Snag Lake,C41592,Snag Lake,2022/08/19 04:00:33,,51.666083,-121.738633,Full,2022
-122.722632698988,50.404788704345,West of Spetch Creek,0,1.5,West of Spetch Creek,V32452,West of Spetch Creek,2022/09/13 07:00:00,WEST OF SPETCH CREEK,50.404783,-122.722617,Full,2022
-118.369348015244,50.6906732316493,Gagney Creek,0,0.009,Gagney Creek,K40864,Gagney Creek,2022/07/29 04:56:06,,50.690667,-118.369333,Full,2022
-120.291981016734,49.4397059419505,Nine Mile Creek 4,0,0.009,Nine Mile Creek 4,K62871,Nine Mile Creek 4,2023/03/19 03:44:55,,49.4397,-120.291966,,2022
-117.97739760081,49.4553062045228,Little Cayuse Creek,0,0.009,Little Cayuse Creek,N51287,Little Cayuse Creek,2022/08/11 09:18:00,,49.4553,-117.977383,Full,2022
-122.017066083753,52.0373388572656,E of Brunson Lake,0,0.01,E of Brunson Lake,C22568,E of Brunson Lake,2022/10/03 00:00:00,,52.037333,-122.01705,Full,2022
-119.162398175701,50.7339231412469,Larch Hills,0,0.009,Larch Hills,K41073,Larch Hills,2022/08/04 03:00:00,Larch Hills,50.733917,-119.162383,Full,2022
-119.835615373384,50.9885390747979,Bush Creek,0,0.009,Bush Creek,K20949,Bush Creek,2022/07/31 06:17:56,BUSH CREEK,50.988533,-119.8356,Full,2022
-119.073732544685,52.0039732160554,Oregana Provincial Park,0,0.009,Oregana Provincial Park,K20994,Oregana Provincial Park,2022/07/28 04:15:59,OREGANA PROVINCIA...,52.003967,-119.073717,Full,2022
-124.092765393122,48.5053724627093,500m N of Loss Creek,0,1.7,500m N of Loss Creek,V62558,500m N of Loss Creek,2022/10/03 02:58:41,500M N OF LOSS CREEK,48.505367,-124.09275,Full,2022
-123.903615637323,49.5291725281686,Halfmoon Creek,0,0.009,Halfmoon Creek,V52838,Halfmoon Creek,2022/11/19 09:32:14,HALFMOON CREEK,49.529167,-123.9036,Full,2022
-120.901749172059,52.8839390299635,Ghost Lake,0,0.11,Ghost Lake,C11222,Ghost Lake,2022/08/11 09:34:36,Ghost Lake fire,52.883933,-120.901733,Full,2022
-120.499682169567,49.8641389405679,Shrimpton Creek,0,0.02,Shrimpton Creek,K60814,Shrimpton Creek,2022/07/28 05:46:37,Pothole Creek,49.864133,-120.499667,Full,2022
-123.13906626077,52.0032227164025,Anahim Dump Rd,0,6.47,Anahim Dump Rd,C50155,Anahim Dump Rd,2022/05/05 09:45:52,,52.003217,-123.13905,Monitor,2022
-120.560715058119,49.4176389105625,Bromley Creek,0,0.1,Bromley Creek,K61484,Bromley Creek,2022/08/15 03:06:10,Bromley Creek,49.417633,-120.5607,Full,2022
-128.600968466347,55.6240210719672,Halfway Lake,0,1,Halfway Lake,R41516,Halfway Lake,2022/08/13 11:14:34,Halfway Lake,55.624016,-128.60095,Full,2022
-119.604881869203,49.3418890149714,Mount Hawthorne,0,1.4,Mount Hawthorne,K50779,Mount Hawthorne,2022/07/26 04:00:00,Mount Hawthorne,49.341883,-119.604867,Full,2022
-122.287183764222,53.8590058882548,Willow River,0,0.009,Willow River,G12379,Willow River,2022/09/09 03:44:43,,53.859,-122.287167,Full,2022
-125.811966027747,49.9025883155881,Upper Campbell Lake 2,0,0.009,Upper Campbell Lake 2,V81610,Upper Campbell Lake 2,2022/08/19 03:30:00,UPPER CAMPBELL LK 2,49.902583,-125.81195,Full,2022
-115.678064062952,49.0962234347701,Gilnockie Prov Park,0,248,Gilnockie Prov Park,N11064,Gilnockie Prov Park,2022/08/04 02:56:51,,49.096217,-115.67805,,2022
-130.385454396935,58.9962678158868,Canyon Creek,0,15,Canyon Creek,R90512,Canyon Creek,2022/07/02 09:52:52,,58.996263,-130.385434,Full,2022
-126.451933157373,50.0350382432393,W of Vernon Lake,0,0.009,W of Vernon Lake,V92151,W of Vernon Lake,2022/08/29 02:36:06,W OF VERNON LAKE,50.035033,-126.451917,Full,2022
-120.47183404188,55.4187391773609,20 km on Oetata FSR,0,1.2,20 km on Oetata FSR,G70293,20 km on Oetata FSR,2022/06/11 02:29:24,,55.418733,-120.471817,Full,2022
-118.719981792497,49.6545561324402,Cochrane Creek,0,0.04,Cochrane Creek,N62042,Cochrane Creek,2022/08/24 12:27:51,Cochrane Creek,49.65455,-118.719967,Full,2022
-119.213115442669,51.5923231794054,Adams River,0,0.009,Adams River,K21207,Adams River,2022/08/01 06:46:35,Adams River,51.592317,-119.2131,Monitor,2022
-115.286847039738,49.3100564925876,Jaffery Baynes Lake Road,0,0.3,Jaffery Baynes Lake Road,N10082,Jaffery Baynes Lake Road,2022/04/18 05:26:51,,49.31005,-115.286833,Full,2022
-122.625816106609,51.7893387724408,Farwell Creek,0,2.5,Farwell Creek,C22508,Farwell Creek,2022/09/26 01:13:13,,51.789333,-122.6258,Full,2022
-120.898051961891,59.2914232191073,Kwokulie Lake,0,4.8,Kwokulie Lake,G90319,Kwokulie Lake,2022/06/20 10:45:00,,59.291417,-120.898033,Full,2022
-119.801298607718,51.7746231175192,Raft West,0,0.48,Raft West,K20899,Raft West,2022/07/30 02:43:42,Spahats Creek,51.774617,-119.801283,Full,2022
-121.104948874484,51.8754889630673,Bradley Creek Rd,0,0.1,Bradley Creek Rd,C40070,Bradley Creek Rd,2022/04/17 00:00:00,,51.875483,-121.104933,Full,2022
-120.604132186949,49.8651729280192,Coalmont Road,0,0.009,Coalmont Road,K61863,Coalmont Road,2022/08/23 03:24:11,,49.865167,-120.604117,Full,2022
-121.600683004579,52.0135389081271,2.5Km S of Squawk Lake,0,0.09,2.5Km S of Squawk Lake,C21748,2.5Km S of Squawk Lake,2022/08/21 06:38:00,,52.013533,-121.600667,Full,2022
-121.159432060923,49.0405888223495,McNaugh Creek - MONITOR ONLY,0,1250,McNaugh Creek - MONITOR ONLY,V11952,McNaugh Creek - MONITOR ONLY,2022/08/24 06:26:48,MCNAUGH CREEK,49.040583,-121.159417,,2022
-125.198349592144,52.0168384584745,Nogwon Mountain,0,0.8,Nogwon Mountain,C52149,Nogwon Mountain,2022/08/30 11:17:04,,52.016833,-125.198333,Full,2022
-119.465715161928,50.4939730930554,East of Spanish Lake,0,0.009,East of Spanish Lake,K41221,East of Spanish Lake,2022/08/11 12:36:06,,50.493967,-119.4657,Full,2022
-119.941865585739,51.6232060933406,Mcclennan mountain,0,0.98,Mcclennan mountain,K22902,Mcclennan mountain,2023/03/30 01:40:34,,51.6232,-119.94185,,2022
-121.479548374788,49.9956228333073,Mowhokam FSR,0,0.009,Mowhokam FSR,V11520,Mowhokam FSR,2022/08/17 02:10:30,MOWHOKAM FSR,49.995617,-121.479533,Full,2022
-121.509982203468,49.35722279813,Flood Falls Trail,0,845,Flood Falls Trail,V12335,Flood Falls Trail,2022/09/08 10:55:03,FLOOD FALLS TRAIL,49.357217,-121.509967,,2022
-117.993514508805,49.0908731803282,Swehaw Creek,0,0.3,Swehaw Creek,N52751,Swehaw Creek,2022/07/01 06:32:50,Swehaw Creek,49.090867,-117.9935,Monitor,2022
-116.449214256006,49.2547233613597,Arrow Creek,0,0.3,Arrow Creek,N71510,Arrow Creek,2022/08/11 06:17:00,,49.254717,-116.4492,Full,2022
-122.450506000288,58.8004059869996,North-northwest of Clark Lake,0,0.06,North-northwest of Clark Lake,G90483,North-northwest of Clark Lake,2022/07/04 06:00:00,,58.8004,-122.450487,Full,2022
-129.342601855026,56.2623219713213,"N of Meziadin Junction, along Hwy 37 V1",0,0.8,"N of Meziadin Junction, along Hwy 37 V1",R50486,"N of Meziadin Junction, along Hwy 37 V1",2022/07/04 10:07:20,,56.262317,-129.342583,Full,2022
-115.463297137293,49.5519394897737,East Norbury,0,0.009,East Norbury,N12312,East Norbury,2022/09/05 11:00:24,,49.551933,-115.463283,Full,2022
-114.442880794994,49.0246895631627,Sage Creek,0,0.02,Sage Creek,N12121,Sage Creek,2022/08/29 00:00:00,,49.024683,-114.442867,Full,2022
-128.918953759958,59.9669220342165,Leo Lake,0,1.1,Leo Lake,R90388,Leo Lake,2022/06/29 10:00:34,,59.966917,-128.918933,Full,2022
-122.997150335701,55.0142058298994,McLeod Lake,0,0.7,McLeod Lake,G62010,McLeod Lake,2022/08/25 04:00:00,Mcleod Lake,55.0142,-122.997133,Full,2022
-123.233466312982,52.111438708179,Anahim Meadow,0,50,Anahim Meadow,C50081,Anahim Meadow,2022/04/18 03:00:00,,52.111433,-123.23345,Full,2022
-121.689398678539,50.9198388506182,Maria Creek FSR,1,997,Maria Creek FSR,K70927,Maria Creek FSR,2022/07/25 11:58:07,MARIA CREEK FSR,50.919833,-121.689383,Full,2022
-121.228817532159,56.2395561009527,"Moberly North, South of Peace River",0,0.009,"Moberly North, South of Peace River",G70961,"Moberly North, South of Peace River",2022/08/01 02:00:10,,56.23955,-121.2288,Full,2022
